DIA;CONC;MTT;%MTT
2;1000;0,009;3,516769782
2;1000;0,008;3,126017584
2;1000;0,008;3,126017584
2;1000;0,008;3,126017584
3;0;0,237;93,15427448
3;0;0,239;93,94038651
3;0;0,264;103,7667868
3;0;0,259;101,8015067
3;0;0,269;105,7320668
3;0;0,251;98,65705863
3;0;0,241;94,72649853
3;0;0,274;107,6973469
3;0;0,275;108,0904029
3;0;0,299;117,5237471
3;0;0,275;108,0904029
3;0;0,306;120,2751392
3;0;0,373;146,6098919
3;0;0,221;86,86537832
3;0;0,202;79,39731412
3;0;0,227;89,22371438
3;0;0,216;84,90009826
3;0;0,202;79,39731412
3;0;0,219;86,0792663
3;0;0,224;88,04454635
3;0;0,256;100,6223387
3;0;0,261;102,5876187
3;0;0,247;97,08483459
3;0;0,269;105,7320668
3;2;0,16;62,88896168
3;2;0,185;72,71536194
3;2;0,218;85,68621028
3;2;0,229;90,0098264
3;2;0,222;87,25843433
3;2;0,238;93,54733049
3;2;0,267;104,9459548
3;2;0,275;108,0904029
3;2;0,249;97,87094661
3;2;0,272;106,9112349
3;2;0,274;107,6973469
3;2;0,281;110,4487389
3;2;0,47;184,7363249
3;2;0,16;62,88896168
3;2;0,177;69,57091386
3;2;0,18;70,75008189
3;2;0,187;73,50147396
3;2;0,187;73,50147396
3;2;0,203;79,79037013
3;2;0,185;72,71536194
3;2;0,224;88,04454635
3;2;0,204;80,18342614
3;2;0,175;68,78480183
3;2;0,144;56,60006551
3;5;0,166;65,24729774
3;5;0,164;64,46118572
3;5;0,181;71,1431379
3;5;0,204;80,18342614
3;5;0,23;90,40288241
3;5;0,197;77,43203406
3;5;0,235;92,36816246
3;5;0,251;98,65705863
3;5;0,217;85,29315427
3;5;0,23;90,40288241
3;5;0,229;90,0098264
3;5;0,192;75,46675401
3;5;0,521;204,7821815
3;5;0,125;49,13200131
3;5;0,134;52,6695054
3;5;0,161;63,28201769
3;5;0,166;65,24729774
3;5;0,156;61,31673764
3;5;0,172;67,6056338
3;5;0,11;43,23616115
3;5;0,155;60,92368162
3;5;0,116;45,59449722
3;5;0,123;48,34588929
3;5;0,088;34,58892892
3;10;0,094;36,94726499
3;10;0,09;35,37504094
3;10;0,125;49,13200131
3;10;0,16;62,88896168
3;10;0,146;57,38617753
3;10;0,131;51,49033737
3;10;0,168;66,03340976
3;10;0,184;72,32230593
3;10;0,171;67,21257779
3;10;0,186;73,10841795
3;10;0,179;70,35702588
3;10;0,191;75,073698
3;10;0,426;167,4418605
3;10;0,072;28,30003275
3;10;0,087;34,19587291
3;10;0,119;46,77366525
3;10;0,119;46,77366525
3;10;0,104;40,87782509
3;10;0,102;40,09171307
3;10;0,085;33,40976089
3;10;0,105;41,2708811
3;10;0,085;33,40976089
3;10;0,095;37,340321
3;10;0,091;35,76809695
3;50;0,022;8,647232231
3;50;0,014;5,502784147
3;50;0,017;6,681952178
3;50;0,021;8,25417622
3;50;0,019;7,468064199
3;50;0,005;1,965280052
3;50;0,023;9,040288241
3;50;0,021;8,25417622
3;50;0,017;6,681952178
3;50;0,02;7,86112021
3;50;0,021;8,25417622
3;50;0,025;9,826400262
3;50;0,104;40,87782509
3;50;0,011;4,323616115
3;50;0,015;5,895840157
3;50;0,011;4,323616115
3;50;0,017;6,681952178
3;50;0,013;5,109728136
3;50;0,013;5,109728136
3;50;0,01;3,930560105
3;50;0,012;4,716672126
3;50;0,009;3,537504094
3;50;0,012;4,716672126
3;50;0,014;5,502784147
3;100;0,005;1,965280052
3;100;0,006;2,358336063
3;100;0,005;1,965280052
3;100;0,005;1,965280052
3;100;0,005;1,965280052
3;100;0,007;2,751392073
3;100;0,006;2,358336063
3;100;0,007;2,751392073
3;100;0,01;3,930560105
3;100;0,008;3,144448084
3;100;0,008;3,144448084
3;100;0,008;3,144448084
3;100;0,004;1,572224042
3;100;0,004;1,572224042
3;100;0,003;1,179168031
3;100;0,005;1,965280052
3;100;0,004;1,572224042
3;100;0,004;1,572224042
3;100;0,005;1,965280052
3;100;0,004;1,572224042
3;100;0,005;1,965280052
3;100;0,005;1,965280052
3;100;0,005;1,965280052
3;100;0,009;3,537504094
3;500;0,014;5,502784147
3;500;0,013;5,109728136
3;500;0,013;5,109728136
3;500;0,011;4,323616115
3;500;0,01;3,930560105
3;500;0,008;3,144448084
3;500;0,009;3,537504094
3;500;0,005;1,965280052
3;500;0,006;2,358336063
3;500;0,004;1,572224042
3;500;0,004;1,572224042
3;500;0,004;1,572224042
3;500;0,016;6,288896168
3;500;0,011;4,323616115
3;500;0,011;4,323616115
3;500;0,009;3,537504094
3;500;0,008;3,144448084
3;500;0,009;3,537504094
3;500;0,005;1,965280052
3;500;0,005;1,965280052
3;500;0,004;1,572224042
3;500;0,002;0,786112021
3;500;0;0
3;500;0,003;1,179168031
3;1000;0,004;1,572224042
3;1000;0,009;3,537504094
3;1000;0,015;5,895840157
3;1000;0,01;3,930560105
3;1000;0,009;3,537504094
3;1000;0,007;2,751392073
3;1000;0,01;3,930560105
3;1000;0,009;3,537504094
3;1000;0,007;2,751392073
3;1000;0,008;3,144448084
3;1000;0,008;3,144448084
3;1000;0,009;3,537504094
