DIA;CONC BCO;CONCMARCH;MTT;%MTT
1;220,038;960;0,008;2,821454813
1;220,038;960;0,006;2,116091109
1;220,038;960;0,013;4,584864071
1;220,038;960;0,012;4,232182219
1;220,038;960;0,006;2,116091109
1;220,038;960;0,004;1,410727406
1;220,038;960;0,003;1,058045555
1;220,038;960;0,012;4,232182219
1;220,038;960;0,013;4,584864071
1;220,038;960;0,014;4,937545922
1;220,038;960;0,011;3,879500367
1;220,038;960;0,015;5,290227774
1;220,038;960;0,011;3,879500367
1;220,038;960;0,003;1,058045555
1;220,038;960;0,013;4,584864071
1;220,038;960;0,007;2,468772961
1;220,038;960;0,013;4,584864071
1;220,038;960;0,013;4,584864071
2;0;0;0,292;99,01102006
2;0;0;0,301;102,0627296
2;0;0;0,296;100,3673354
2;0;0;0,301;102,0627296
2;0;0;0,268;90,873128
2;0;0;0,337;114,2695677
2;0;0;0,285;96,63746821
2;0;0;0,305;103,4190449
2;0;0;0,297;100,7064142
2;0;0;0,295;100,0282566
2;0;0;0,305;103,4190449
2;0;0;0,308;104,4362814
2;0;0;0,336;113,9304888
2;0;0;0,247;83,75247245
2;0;0;0,307;104,0972026
2;0;0;0,261;88,49957615
2;0;0;0,234;79,34444758
2;0;0;0,339;114,9477253
2;0;0;0,368;124,7810116
2;0;0;0,242;82,05707827
2;0;0;0,283;95,95931054
2;0;0;0,277;93,92483752
2;0;0;0,295;100,0282566
2;0;0;0,299;101,3845719
2;11,0019;48;0,241;81,71799943
2;11,0019;48;0,209;70,86747669
2;11,0019;48;0,21;71,20655552
2;11,0019;48;0,206;69,85024018
2;11,0019;48;0,219;74,25826505
2;11,0019;48;0,233;79,00536875
2;11,0019;48;0,218;73,91918621
2;11,0019;48;0,215;72,9019497
2;11,0019;48;0,018;6,103419045
2;11,0019;48;0,252;85,44786663
2;11,0019;48;0,234;79,34444758
2;11,0019;48;0,218;73,91918621
2;11,0019;48;0,2;67,81576717
2;11,0019;48;0,188;63,74682114
2;11,0019;48;0,175;59,33879627
2;11,0019;48;0,208;70,52839785
2;11,0019;48;0,204;69,17208251
2;11,0019;48;0,181;61,37326929
2;11,0019;48;0,312;105,7925968
2;11,0019;48;0,188;63,74682114
2;11,0019;48;0,195;66,12037299
2;11,0019;48;0,19;64,42497881
2;11,0019;48;0,198;67,13760949
2;11,0019;48;0,205;69,51116135
2;22,0038;96;0,18;61,03419045
2;22,0038;96;0,15;50,86182537
2;22,0038;96;0,147;49,84458887
2;22,0038;96;0,164;55,60892908
2;22,0038;96;0,148;50,1836677
2;22,0038;96;0,154;52,21814072
2;22,0038;96;0,174;58,99971743
2;22,0038;96;0,149;50,52274654
2;22,0038;96;0,166;56,28708675
2;22,0038;96;0,163;55,26985024
2;22,0038;96;0,149;50,52274654
2;22,0038;96;0,171;57,98248093
2;22,0038;96;0,134;45,436564
2;22,0038;96;0,117;39,67222379
2;22,0038;96;0,133;45,09748517
2;22,0038;96;0,127;43,06301215
2;22,0038;96;0,122;41,36761797
2;22,0038;96;0,119;40,35038146
2;22,0038;96;0,138;46,79287934
2;22,0038;96;0,123;41,70669681
2;22,0038;96;0,154;52,21814072
2;22,0038;96;0,127;43,06301215
2;22,0038;96;0,149;50,52274654
2;22,0038;96;0,159;53,9135349
2;27,50475;120;0,181;61,37326929
2;27,50475;120;0,135;45,77564284
2;27,50475;120;0,163;55,26985024
2;27,50475;120;0,149;50,52274654
2;27,50475;120;0,142;48,14919469
2;27,50475;120;0,155;52,55721955
2;27,50475;120;0,157;53,23537723
2;27,50475;120;0,143;48,48827352
2;27,50475;120;0,146;49,50551003
2;27,50475;120;0,149;50,52274654
2;27,50475;120;0,158;53,57445606
2;27,50475;120;0,149;50,52274654
2;27,50475;120;0,128;43,40209099
2;27,50475;120;0,124;42,04577564
2;27,50475;120;0,136;46,11472167
