DIA;CONC;MTT;%MTT
2;500;0,006;2,105263158
2;500;0,006;2,105263158
2;500;0,004;1,403508772
2;500;0,001;0,350877193
2;500;0;0
2;500;0,003;1,052631579
2;500;0,047;16,49122807
2;500;0,032;11,22807018
2;500;0,021;7,368421053
2;500;0,027;9,473684211
2;500;0,021;7,368421053
2;500;0,009;3,157894737
2;500;0,008;2,807017544
2;500;0,006;2,105263158
2;500;0;0
2;500;0;0
2;500;0;0
2;500;0;0
2;1000;0,004;1,403508772
2;1000;0,002;0,701754386
2;1000;0,011;3,859649123
2;1000;0,021;7,368421053
2;1000;0,005;1,754385965
2;1000;0,006;2,105263158
2;1000;0,002;0,701754386
2;1000;0,008;2,807017544
2;1000;0,003;1,052631579
2;1000;0,004;1,403508772
2;1000;0,004;1,403508772
2;1000;0,004;1,403508772
2;1000;0,027;9,473684211
2;1000;0,022;7,719298246
2;1000;0,017;5,964912281
2;1000;0,024;8,421052632
2;1000;0,011;3,859649123
2;1000;0,011;3,859649123
2;1000;0,005;1,754385965
2;1000;0,01;3,50877193
2;1000;0;0
2;1000;0;0
2;1000;0;0
2;1000;0,008;2,807017544
3;0;0,303;97,50603379
3;0;0,337;108,4473049
3;0;0,298;95,89702333
3;0;0,317;102,0112631
3;0;0,313;100,7240547
3;0;0,316;101,689461
3;0;0,308;99,11504425
3;0;0,299;96,21882542
3;0;0,314;101,0458568
3;0;0,335;107,8037007
3;0;0,338;108,769107
3;0;0,352;113,2743363
3;0;0,286;92,03539823
3;0;0,308;99,11504425
3;0;0,281;90,42638777
3;0;0,293;94,28801287
3;0;0,28;90,10458568
3;0;0,307;98,79324216
3;0;0,303;97,50603379
3;0;0,315;101,3676589
3;0;0,294;94,60981496
3;0;0,32;102,9766693
3;0;0,314;101,0458568
3;0;0,327;105,229284
3;2;0,231;74,33628319
3;2;0,186;59,85518906
3;2;0,231;74,33628319
3;2;0,201;64,68222043
3;2;0,199;64,03861625
3;2;0,207;66,61303298
3;2;0,23;74,01448109
3;2;0,218;70,15285599
3;2;0,212;68,22204344
3;2;0,218;70,15285599
3;2;0,237;76,26709574
3;2;0,268;86,24296058
3;2;0,261;83,99034594
3;2;0,167;53,74094932
3;2;0,137;44,08688656
3;2;0,16;51,48833467
3;2;0,127;40,86886565
3;2;0,173;55,67176187
3;2;0,174;55,99356396
3;2;0,187;60,17699115
3;2;0,179;57,60257442
3;2;0,218;70,15285599
3;2;0,204;65,64762671
3;2;0,237;76,26709574
3;5;0,203;65,32582462
3;5;0,199;64,03861625
3;5;0,197;63,39501207
3;5;0,186;59,85518906
3;5;0,192;61,78600161
3;5;0,199;64,03861625
3;5;0,205;65,9694288
3;5;0,198;63,71681416
3;5;0,221;71,11826227
3;5;0,211;67,90024135
3;5;0,228;73,37087691
3;5;0,274;88,17377313
3;5;0,214;68,86564763
3;5;0,208;66,93483508
3;5;0,172;55,34995977
3;5;0,187;60,17699115
3;5;0,2;64,36041834
3;5;0,208;66,93483508
3;5;0,194;62,42960579
3;5;0,211;67,90024135
3;5;0,185;59,53338697
3;5;0,206;66,29123089
3;5;0,202;65,00402253
3;5;0,24;77,23250201
3;10;0,169;54,3845535
3;10;0,159;51,16653258
3;10;0,147;47,30490748
3;10;0,159;51,16653258
3;10;0,158;50,84473049
3;10;0,157;50,5229284
3;10;0,157;50,5229284
3;10;0,158;50,84473049
3;10;0,169;54,3845535
3;10;0,161;51,81013677
3;10;0,168;54,06275141
3;10;0,182;58,56798069
3;10;0,16;51,48833467
3;10;0,154;49,55752212
3;10;0,128;41,19066774
3;10;0,149;47,94851167
3;10;0,149;47,94851167
3;10;0,157;50,5229284
3;10;0,142;45,69589702
3;10;0,151;48,59211585
3;10;0,166;53,41914722
3;10;0,174;55,99356396
3;10;0,145;46,6613033
3;10;0,175;56,31536605
3;50;0,007;2,252614642
3;50;0,004;1,287208367
3;50;0,006;1,93081255
3;50;0,007;2,252614642
3;50;0,009;2,896218825
3;50;0,0017;0,547063556
3;50;0,009;2,896218825
3;50;0,007;2,252614642
3;50;0,007;2,252614642
3;50;0,011;3,539823009
3;50;0,009;2,896218825
3;50;0,006;1,93081255
3;50;0,007;2,252614642
3;50;0,005;1,609010459
3;50;0,006;1,93081255
3;50;0,005;1,609010459
3;50;0,007;2,252614642
3;50;0,007;2,252614642
3;50;0,007;2,252614642
3;50;0,006;1,93081255
3;50;0,006;1,93081255
3;50;0,007;2,252614642
3;50;0,005;1,609010459
3;50;0,005;1,609010459
3;100;0,007;2,252614642
3;100;0,013;4,183427192
3;100;0,008;2,574416734
3;100;0,008;2,574416734
3;100;0,011;3,539823009
3;100;0,016;5,148833467
3;100;0,012;3,861625101
3;100;0,007;2,252614642
3;100;0,01;3,218020917
3;100;0,018;5,792437651
3;100;0,008;2,574416734
3;100;0,008;2,574416734
3;100;0,008;2,574416734
3;100;0,009;2,896218825
3;100;0,009;2,896218825
3;100;0,012;3,861625101
3;100;0,011;3,539823009
3;100;0,007;2,252614642
3;100;0,007;2,252614642
3;100;0,008;2,574416734
3;100;0,0009;0,289621883
3;100;0,01;3,218020917
3;100;0,009;2,896218825
3;100;0,008;2,574416734
3;500;0,005;1,609010459
3;500;0,009;2,896218825
3;500;0,008;2,574416734
3;500;0,009;2,896218825
3;500;0,006;1,93081255
3;500;0,011;3,539823009
3;500;0,009;2,896218825
3;500;0,011;3,539823009
3;500;0,01;3,218020917
3;500;0,008;2,574416734
3;500;0,006;1,93081255
3;500;0,007;2,252614642
3;500;0,009;2,896218825
3;500;0,008;2,574416734
3;500;0,011;3,539823009
3;500;0,008;2,574416734
3;500;0,011;3,539823009
3;500;0,007;2,252614642
3;500;0,009;2,896218825
3;500;0,008;2,574416734
3;500;0,0008;0,257441673
3;500;0,007;2,252614642
3;500;0,006;1,93081255
3;500;0,006;1,93081255
3;1000;0,01;3,218020917
3;1000;0,007;2,252614642
3;1000;0,013;4,183427192
3;1000;0,01;3,218020917
3;1000;0,009;2,896218825
3;1000;0,009;2,896218825
3;1000;0,008;2,574416734
3;1000;0,014;4,505229284
3;1000;0,011;3,539823009
3;1000;0,002;0,643604183
3;1000;0,003;0,965406275
3;1000;0,01;0,965406275
3;1000;0,011;3,218020917
3;1000;0,016;3,539823009
3;1000;0,009;5,148833467
3;1000;0,006;2,896218825
3;1000;0,004;1,287208367
3;1000;0,003;0,965406275
3;1000;0,008;2,574416734
3;1000;0,01;3,218020917
3;1000;0,009;2,896218825
3;1000;0,007;2,252614642
3;1000;0,003;0,965406275
3;1000;0,005;1,609010459
4;0;0,243;115,3481013
4;0;0,274;130,0632911
4;0;0,223;105,8544304
4;0;0,234;111,0759494
4;0;0,225;106,8037975
4;0;0,201;95,41139241
4;0;0,227;107,7531646
4;0;0,221;104,9050633
4;0;0,204;96,83544304
4;0;0,226;107,278481
4;0;0,208;98,73417722
4;0;0,249;118,1962025
4;0;0,172;81,64556962
4;0;0,193;91,61392405
4;0;0,231;109,6518987
4;0;0,168;79,74683544
4;0;0,195;92,56329114
4;0;0,205;97,31012658
4;0;0,183;86,86708861
4;0;0,185;87,8164557
4;0;0,19;90,18987342
4;0;0,182;86,39240506
4;0;0,2;94,93670886
4;0;0,217;103,0063291
4;2;0,288;136,7088608
4;2;0,216;102,5316456
4;2;0,236;112,0253165
4;2;0,227;107,7531646
4;2;0,22;104,4303797
4;2;0,22;104,4303797
4;2;0,248;117,721519
4;2;0,202;95,88607595
4;2;0,208;98,73417722
4;2;0,227;107,7531646
4;2;0,228;108,2278481
4;2;0,26;123,4177215
4;2;0,187;88,76582278
4;2;0,207;98,25949367
4;2;0,185;87,8164557
4;2;0,207;98,25949367
4;2;0,212;100,6329114
4;2;0,17;80,69620253
4;2;0,211;100,1582278
4;2;0,168;79,74683544
4;2;0,15;71,20253165
4;2;0,212;100,6329114
4;2;0,201;95,41139241
4;2;0,199;94,46202532
4;5;0,19;90,18987342
4;5;0,174;82,59493671
4;5;0,163;77,37341772
4;5;0,153;72,62658228
4;5;0,137;65,03164557
4;5;0,101;47,94303797
4;5;0,145;68,82911392
4;5;0,13;61,70886076
4;5;0,122;57,91139241
4;5;0,151;71,67721519
4;5;0,169;80,22151899
4;5;0,167;79,2721519
4;5;0,131;62,1835443
4;5;0,14;66,4556962
4;5;0,129;61,23417722
4;5;0,111;52,68987342
4;5;0,117;55,53797468
4;5;0,1;47,46835443
4;5;0,11;52,21518987
4;5;0,02;9,493670886
4;5;0,093;44,14556962
4;5;0,131;62,1835443
4;5;0,128;60,75949367
4;5;0,157;74,52531646
4;10;0,143;67,87974684
4;10;0,112;53,16455696
4;10;0,108;51,26582278
4;10;0,088;41,7721519
4;10;0,103;48,89240506
4;10;0,088;41,7721519
4;10;0,1;47,46835443
4;10;0,1;47,46835443
4;10;0,092;43,67088608
4;10;0,096;45,56962025
4;10;0,12;56,96202532
4;10;0,115;54,58860759
4;10;0,078;37,02531646
4;10;0,096;45,56962025
4;10;0,098;46,51898734
4;10;0,083;39,39873418
